station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
4cd5a87d-7618-4a15-892d-8cf29eec865c,Tyler Ave & Maurice Ave,5881.01,40.73394,-73.90128,71,"KEY, CREDITCARD",19,false,17,1,0,0,true,true,true,false,2024-03-07 00:06:58.000000 UTC
8dc8c0b3-4d70-40fe-a75a-86e30ecb676b,Caton Ave & E 7 St,3199.01,40.647718,-73.973663,71,"KEY, CREDITCARD",20,false,17,3,0,0,true,true,true,false,2024-03-07 00:06:31.000000 UTC
1861681740276243358,Irwin Ave & W 232 St,8835.05,40.88227,-73.90809,0,"KEY, CREDITCARD",20,false,17,3,0,0,true,true,true,false,2024-03-07 00:07:05.000000 UTC
c3b255d8-b690-4825-b1e9-a1d1680e5542,Kent St & McGuinness Blvd,5785.10,40.73124,-73.95161,71,"KEY, CREDITCARD",20,false,17,3,0,0,true,true,true,false,2024-03-07 00:06:12.000000 UTC
1828966626550010820,77 St & 31 Ave,6718.02,40.75886,-73.89081,0,"KEY, CREDITCARD",20,false,18,2,0,0,true,true,true,false,2024-03-07 00:06:57.000000 UTC
e92414a8-e72f-4a69-a5a1-7f50f4c881e5,2 Ave & 43 St,3428.04,40.652928293638112,-74.012864828109741,71,"KEY, CREDITCARD",19,false,18,1,0,0,true,true,true,false,2024-03-07 00:07:08.000000 UTC
9635affa-8b18-42d5-84c4-7f67ad5ef9d0,Alexander Ave & E 134 St,7712.04,40.807466,-73.927107,71,"KEY, CREDITCARD",19,false,18,1,0,0,true,true,true,false,2024-03-07 00:07:22.000000 UTC
7a1ad7c0-4958-4354-91a1-11bf13348abd,56 Dr & 59 St,5579.02,40.72403,-73.90853,71,"KEY, CREDITCARD",19,false,18,1,0,0,true,true,true,false,2024-03-07 00:07:20.000000 UTC
ecbfcdb7-fffc-4d45-bed2-1510fd45834d,Jerome Ave & E 164 St,8096.02,40.831444,-73.926226,71,"KEY, CREDITCARD",21,false,18,2,0,0,true,true,true,false,2024-03-07 00:06:58.000000 UTC
48e7e465-f861-452a-9bf7-7eacd0b2bcac,48 St & 2 Ave,3283.05,40.650176,-74.015606,71,"KEY, CREDITCARD",19,false,18,1,0,0,true,true,true,false,2024-03-07 00:07:19.000000 UTC
3f878b81-324e-4673-9221-43d34647e76f,10 St & 2 Ave,3922.02,40.671907,-73.993612,71,"KEY, CREDITCARD",19,false,18,1,0,0,true,true,true,false,2024-03-07 00:07:09.000000 UTC
1865017865553426604,Stratford Rd & Beverley Rd,3113.10,40.64378,-73.96867,0,"KEY, CREDITCARD",19,false,18,1,0,0,true,true,true,false,2024-03-07 00:06:09.000000 UTC
55fda28d-56a8-4db2-b42a-072714f18471,Schenectady Ave & Maple St,3639.04,40.66178,-73.93445,71,"KEY, CREDITCARD",19,false,18,0,0,0,true,true,true,false,2024-03-07 00:07:06.000000 UTC
1815967313905864892,Rugby Rd & Albemarle Rd,3188.04,40.64672,-73.96637,0,"KEY, CREDITCARD",19,false,18,1,0,0,true,true,true,false,2024-03-07 00:05:35.000000 UTC
1828968691399885056,87 St & 30 Ave,6780.06,40.76156,-73.88167,0,"KEY, CREDITCARD",21,false,18,3,0,0,true,true,true,false,2024-03-07 00:05:54.000000 UTC
d4c34830-972f-4cd1-81bb-071df209d065,W 181 St & Riverside Dr,8381.04,40.85168,-73.94186,71,"KEY, CREDITCARD",21,false,18,3,0,0,true,true,true,false,2024-03-07 00:07:10.000000 UTC
66dd8043-0aca-11e7-82f6-3863bb44ef7c,Pershing Field,JC024,40.742677141,-74.051788633,70,"KEY, CREDITCARD",18,false,18,0,0,0,true,true,true,false,2024-03-07 00:07:05.000000 UTC
1848241791125254746,51 Ave & Junction Blvd,6113.07,40.74087,-73.86772,0,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:06:26.000000 UTC
7f402242-dc1b-4a48-ba21-58c4fa7216b4,53 Ave & 62 St,5806.01,40.73169,-73.90159,0,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:06:37.000000 UTC
1202a491-9f76-4609-9b5c-eb7723ab5b45,57 St & Grand Ave,5440.05,40.71921,-73.9124,71,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:07:13.000000 UTC
a37bd0e0-d1e9-4302-9ff7-286e415aff1c,58 St & 56 Dr,5548.01,40.72419,-73.91244,0,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:06:36.000000 UTC
1828965671716082498,Cortelyou Rd & E 34 St,3087.01,40.64454,-73.94486,0,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:06:48.000000 UTC
d6834194-029d-4e2d-83b0-ee78ab5acda2,29 St & 5 Ave,3523.06,40.656986,-73.998194,71,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:07:25.000000 UTC
1828968794479100296,25 Ave & 85 St,6817.15,40.76328,-73.88404,0,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:06:34.000000 UTC
1828966882896859944,77 St & 24 Ave,6825.03,40.76428,-73.89156,0,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:06:17.000000 UTC
10c13fe2-34cb-4aff-bea1-4f5ce877769b,E 142 St & 3 Ave,7781.10,40.812735,-73.923697,71,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:07:26.000000 UTC
9dde927d-9984-4f97-bcd0-fbcb59e6ca66,57 Rd & 59 St,5510.02,40.72249,-73.90854,71,"KEY, CREDITCARD",19,false,19,0,0,0,true,true,true,false,2024-03-07 00:06:04.000000 UTC
